Company,Year,Revenue,NetIncome,UserMetric,UserMetricType,ProfitMargin,NetIncomeMarginPct,RevenueGrowth
Netflix,2018,15794,1211,139,Subscribers,0.07667468658984425,7.667468658984425,
Netflix,2019,20156,1867,167,Subscribers,0.09262750545743204,9.262750545743204,0.2761808281625935
Netflix,2020,24996,2761,203,Subscribers,0.11045767322771644,11.045767322771644,0.2401270093272474
Netflix,2021,29698,5116,222,Subscribers,0.17226749276045525,17.226749276045524,0.18811009761561848
Netflix,2022,31616,4491,231,Subscribers,0.14204832995951416,14.204832995951417,0.06458347363458827
Netflix,2023,33723,5408,260,Subscribers,0.16036532930047742,16.03653293004774,0.06664347165991913
Bilibili,2018,412,-86,92,MAU,-0.2087378640776699,-20.87378640776699,
Bilibili,2019,965,-193,130,MAU,-0.2,-20.0,1.342233009708738
Bilibili,2020,1838,-480,202,MAU,-0.2611534276387378,-26.115342763873777,0.9046632124352332
Bilibili,2021,3120,-1068,267,MAU,-0.3423076923076923,-34.23076923076923,0.6974972796517955
Bilibili,2022,3201,-750,326,MAU,-0.23430178069353327,-23.430178069353328,0.02596153846153837
Bilibili,2023,3500,-680,336,MAU,-0.19428571428571428,-19.428571428571427,0.0934083099031553
iQIYI,2018,3600,-91,87,Subscribers,-0.025277777777777777,-2.5277777777777777,
iQIYI,2019,4100,-1500,106,Subscribers,-0.36585365853658536,-36.58536585365854,0.13888888888888884
iQIYI,2020,4600,-1100,118,Subscribers,-0.2391304347826087,-23.91304347826087,0.12195121951219523
iQIYI,2021,4700,-900,97,Subscribers,-0.19148936170212766,-19.148936170212767,0.021739130434782705
iQIYI,2022,4300,170,101,Subscribers,0.03953488372093023,3.953488372093023,-0.08510638297872342
iQIYI,2023,4400,300,105,Subscribers,0.06818181818181818,6.8181818181818175,0.023255813953488413
